position;castle_code;tags;castle_name;country;land;gebied;area;place;region;region_code;Latitude;Longitude;maps;stichter;founder;era;kasteel_type;castle_type;ct_code;kasteel_concept;castle_concept;cc_code;conditie;condition;c_code;opmerkelijk;remarkable;beschrijving;description;website;score_total;score_visitors;visitors;position_ref;score_ref;score_visitors_calculated;bezocht;score_alg;score_country;Description2;Name
1;tower;tower+of+london;Tower of London;England;Engeland;Britse Eilanden, Verenigd Koninkrijk;British isles, United Kingdom;London;London;london;51,508035;-0,076132;7269791071261967203;Koning William I van Engeland(Willem de Veroveraar);King William I of England(William de Veroveraar);11;Stadsburcht;City castle;5;Donjon binnen weermuren;Donjon inside curtain wall;6;Herbouwd/Verbouwd;Rebuild/Restored;2;Bekende gevangenen: William Wallace (Braveheart). Bekende executies: Ann Boleijn. De hoofden van geexecuteerden werden ter afschrikking op de Tower Bridge geplaatst.;Well-known prisonerswho where executed here: William Wallace (Braveheart), Ann Boleijn. The heads of the executed were placed on the Tower Bridge for deterrence.;Bekende onderdelen: White Tower, Traitor's Gate, Bell Tower en de Bloody Tower. ;Important parts of the castle: White Tower, Traitor's Gate, Bell Tower and the Bloody Tower. ;http://www.hrp.org.uk/webcode/tower_home.asp;1278,218808;7,676489028;1594;1;872,2159521;1086,448903;2009;1165,102333;224;<b>Tower of London</b><br><br><img src='http://www.topcastles.com/images/large/tower.jpg' border='0'><br><br>Topcastle according to http://www.topcastles.com/kastelen.php?SubMenu=main&SelCastle=tower<br><br>1. Tower of London<br>Country: England<br>Region: London<br>Place: London;Tower of London
2;carcassonne;carcassonne;Cité de Carcassonne;France;Frankrijk;;;Carcassonne;Languedoc-Roussillon;languedoc-roussillon;43,206667;2,363611;5079243085334653466;Koning Louis IX van Frankrijk;King Louis IX of Frankrijk;12;Stadsburcht;City castle;5;Rechthoekig of veelhoekig;Rectangular or polygonal;5;Herbouwd/Verbouwd;Rebuild/Restored;2; ; ;Gerestaureerd door Viollet-le-Duc;Gerestaureerd door Viollet-le-Duc;http://www.carcassonne.culture.fr/;1226,675197;8,208147044;2012;4;738,9642724;1223,214704;2011;1034,549981;0;<b>Cité de Carcassonne</b><br><br><img src='http://www.topcastles.com/images/large/carcassonne.jpg' border='0'><br><br>Topcastle according to http://www.topcastles.com/kastelen.php?SubMenu=main&SelCastle=carcassonne<br><br>2. Cité de Carcassonne<br>Country: France<br>Region: Languedoc-Roussillon<br>Place: Carcassonne;Cité de Carcassonne
3;krak;krak;Krak des Chevaliers (Kalat el Hösn);Syria;Syrië;Azië, Buiten Europa, Kruistochten;Asia, Outside Europe, Crusades;Homs;;;34,756987;36,294365;;Raymond du Puy;Raymond du Puy;12;Rotskasteel;Rock castle;2;Donjon binnen weermuren;Donjon inside curtain wall;6;Beschadigd;Damaged;3;Een van de grootste en best bewaarde kruisvaarderskastelen. Door 1271 veroverd door de moslims.;One of the largest and best preserved crusader castles. Conquered by the muslims in 1271.;;;http://www.syriagate.com/Syria/about/cities/Homs/krakdeschevalier.htm;1153,351938;6,065537957;1830;2;796,7500441;972,5537957;;1059,450062;224;<b>Krak des Chevaliers (Kalat el Hösn)</b><br><br><img src='http://www.topcastles.com/images/large/krak.jpg' border='0'><br><br>Topcastle according to http://www.topcastles.com/kastelen.php?SubMenu=main&SelCastle=krak<br><br>3. Krak des Chevaliers (Kalat el Hösn)<br>Country: Syria<br>Region: <br>Place: Homs;Krak des Chevaliers (Kalat el Hösn)
4;malbork;malbork;Malbork (Marienborg);Poland;Polen;Oost Europa, Heilige Roomse Rijk, Kruistochten;Eastern Europe, Holy Roman Empire, Crusades;Malbork;Pomorsky (Pomerania, Pommern);pomorsky;54,0417;19,0333;5666332454564023411;Orde van Teutonische Ridders;Orde of Teutonische Ridders;13;Stadsburcht;City castle;5;Donjon binnen weermuren;Donjon inside curtain wall;6;Herbouwd/Verbouwd;Rebuild/Restored;2; The biggest castle in Poland – occupies area of 25 hectares, the biggest brick castle of world. ; The biggest castle in Poland – occupies area of 25 hectares, the biggest brick castle of world. ;Capitol castle of Teutonic Order since XIII century to 1457, then owned by Polish kings. Destroyed during World War II, rebuilt since 1950. ;Capitol castle of Teutonic Order since XIII century to 1457, then owned by Polish kings. Destroyed during World War II, rebuilt since 1950. ;http://www.zamek.malbork.pl;1112,623241;8,107775212;1298;6;697,1494222;1070,377521;2010;962,009191;56;<b>Malbork (Marienborg)</b><br><br><img src='http://www.topcastles.com/images/large/malbork.jpg' border='0'><br><br>Topcastle according to http://www.topcastles.com/kastelen.php?SubMenu=main&SelCastle=malbork<br><br>4. Malbork (Marienborg)<br>Country: Poland<br>Region: Pomorsky (Pomerania, Pommern)<br>Place: Malbork;Malbork (Marienborg)
5;caernarfon;caernarfon;Caernarfon Castle (Caernarvon);Wales;Wales;Britse Eilanden, Verenigd Koninkrijk;British isles, United Kingdom;Caernarfon;Gwynedd;gwynedd;53,140098;-4,2744;5562742626742008026;Koning Edward I van Engeland;King Edward I of England;13;Stadsburcht;City castle;5;Rechthoekig of veelhoekig;Rectangular or polygonal;5;Intakt;Intact;1; ; ;;;http://www.caernarfon.com/index.html;1055,513322;7,314285714;629;3;752,1100399;857,2285714;;1052,954056;0;<b>Caernarfon Castle (Caernarvon)</b><br><br><img src='http://www.topcastles.com/images/large/caernarfon.jpg' border='0'><br><br>Topcastle according to http://www.topcastles.com/kastelen.php?SubMenu=main&SelCastle=caernarfon<br><br>5. Caernarfon Castle (Caernarvon)<br>Country: Wales<br>Region: Gwynedd<br>Place: Caernarfon;Caernarfon Castle (Caernarvon)
6;alhambra;alhambra;Alhambra de Granada;Spain;Spanje;Zuid Europa;South Europe;Granada;Andalucia;andalucia;37,176892;-3,589986;5313028842570833970;Mohammed I;Mohammed I;13;Hoogteburcht;Mountain castle;1;Donjon binnen weermuren;Donjon inside curtain wall;6;Herbouwd/Verbouwd;Rebuild/Restored;2; ; ;De Alcazaba is het 13de eeuwse kasteel van het Alhambra, de Alcazar is het 14de eeuwse paleis ernaast.;De Alcazaba is het 13de eeuwse kasteel van het Alhambra, de Alcazar is het 14de eeuwse paleis ernaast.;http://www.alhambradegranada.org/default_en.asp;1015,361265;7,687096774;309;5;722,3404739;830,5096774;;955,2766634;224;<b>Alhambra de Granada</b><br><br><img src='http://www.topcastles.com/images/large/alhambra.jpg' border='0'><br><br>Topcastle according to http://www.topcastles.com/kastelen.php?SubMenu=main&SelCastle=alhambra<br><br>6. Alhambra de Granada<br>Country: Spain<br>Region: Andalucia<br>Place: Granada;Alhambra de Granada
7;harlech;harlech;Harlech Castle;Wales;Wales;Britse Eilanden, Verenigd Koninkrijk;British isles, United Kingdom;Harlech;Gwynedd;gwynedd;52,86;-4,108333333;5417031941500162822;Koning Edward II van Engeland;King Edward II of England;13;Rotskasteel;Rock castle;2;Rechthoekig of veelhoekig;Rectangular or polygonal;5;Beschadigd;Damaged;3; ; ;;;http://www.harlech.com/;1002,242683;7,317941953;757;7;678,4950945;883,1941953;;949,8931323;0;<b>Harlech Castle</b><br><br><img src='http://www.topcastles.com/images/large/harlech.jpg' border='0'><br><br>Topcastle according to http://www.topcastles.com/kastelen.php?SubMenu=main&SelCastle=harlech<br><br>7. Harlech Castle<br>Country: Wales<br>Region: Gwynedd<br>Place: Harlech;Harlech Castle
8;chillon;chillon;Château de Chillon ;Switzerland;Zwitserland;Alpen, Heilige Roomse Rijk;Alps, Holy Roman Empire;Champvent (Kanton Vaud);Genfersee;genfersee;46,414167;6,9275;5417031941500162822;Peter II;Peter II;12;Havenburcht;Harbour castle;4;Donjon binnen weermuren;Donjon inside curtain wall;6;Intakt;Intact;1; ; ;;;http://www.chillon.ch/;987,6097686;7,30282638;742;8;664,7427218;878,682638;2012;930,6398106;0;<b>Château de Chillon </b><br><br><img src='http://www.topcastles.com/images/large/chillon.jpg' border='0'><br><br>Topcastle according to http://www.topcastles.com/kastelen.php?SubMenu=main&SelCastle=chillon<br><br>8. Château de Chillon <br>Country: Switzerland<br>Region: Genfersee<br>Place: Champvent (Kanton Vaud);Château de Chillon 
9;segovia;segovia+alcazar;Alcazar de Segovia;Spain;Spanje;Zuid Europa;South Europe;Segovia;Castilla y León;castilla_y_leon;40,9525;-4,132778;14362433277072637321;Koning Alfonso VI de Castille;King Alfonso VI de Castille;11;Rotskasteel;Rock castle;2;Donjon binnen weermuren;Donjon inside curtain wall;6;Herbouwd/Verbouwd;Rebuild/Restored;2; ; ;;;http://www.alcazardesegovia.com/Ingles/IndicePrincipal.htm;982,8111895;8,563535912;904;17;571,3715489;1037,153591;;743,9201684;224;<b>Alcazar de Segovia</b><br><br><img src='http://www.topcastles.com/images/large/segovia.jpg' border='0'><br><br>Topcastle according to http://www.topcastles.com/kastelen.php?SubMenu=main&SelCastle=segovia<br><br>9. Alcazar de Segovia<br>Country: Spain<br>Region: Castilla y León<br>Place: Segovia;Alcazar de Segovia
10;dover;dover;Dover Castle;England;Engeland;Britse Eilanden, Verenigd Koninkrijk;British isles, United Kingdom;Dover (Kent);South East;south_east;51,129684;1,321449;4199452512069614431;Koning Henry II van Engeland;King Henry II of England;12;Stadsburcht;City castle;5;Donjon binnen weermuren;Donjon inside curtain wall;6;Intakt;Intact;1; ; ;;;http://www.dover-castle-friends.org;980,4072172;7,665153235;880;13;621,2772839;942,5153235;2009;813,7881974;224;<b>Dover Castle</b><br><br><img src='http://www.topcastles.com/images/large/dover.jpg' border='0'><br><br>Topcastle according to http://www.topcastles.com/kastelen.php?SubMenu=main&SelCastle=dover<br><br>10. Dover Castle<br>Country: England<br>Region: South East<br>Place: Dover (Kent);Dover Castle
